Questions,Answers,Sentiment
I just broke up with my boyfriend. I am feeling lost.,"Realize that sometimes a breakup is a blessing in disguise. ""In almost every case, I was glad to be done with it. I looked to the future and saw only misery. Or [my exes] looked to the future and saw only misery. Either way, it was for the best that we split. It takes time, but you know, you kind of just move on.""",Love
I just broke up with my boyfriend. I am feeling lost.,"Find new hobbies and other ways to get your mind off the breakup. ""If I slumped into phases of just sitting there wondering about her and feeling sorry for myself, I'd just free-write my thoughts in a journal for about 20 minutes, then I'd go do something completely unrelated like read a book or dive into a mindless video game. It helped to get the emotions out of my system without sitting around for hours feeling sad.""",Love
I just broke up with my boyfriend. I am feeling lost.,"We so often doubt ourselves and our ability to do what’s right, when most of the time we do know in our hearts what’s best. Remember that your feelings are valid. You’re not losing touch with reality. You know yourself better than anyone else, so be your best advocate.",Love
I have a long distance relationship. Do you think it will work out?,Of course. You just need something to look forward to together.,Love
I am becoming too sceptical about my long distance relationship… Is there possibly a way it will work out?,Of course. Just be patient and don't judge too fast.,Love
Do you believe that a long distance relationship will work?,Of course. Just make sure that the distance is temporary. We all need someone to shower with love.,Love
Really missing my boo..Long distance relationships suck..,Cheer up! Technology is your best friend nowadays!,Love
Is there a way to maintain a long distance relationship?,Of course! Just do Stuff Together Even Though You’re Apart.,Love
I wonder if my long distance relationship will work…,Yes!!! Be confident in your relationship!,Love
Do you think that there is a chance for my long distance relationship to work?,Yes. Just “Be there” even when you can’t actually be there.,Love
Advice for long distance relationship?,Just remind your partner frequently what you love about your relationship.,Love
I have recently moved house on my own and I am finding it very difficult to relax especially at night in case a spider comes into the house.,I am sorry you are finding it hard to relax. Have you heard of cbt? It is a type of therapy that can be very helpful for phobias. Maybe it is something you may like to try.,Fear
I have recently moved house on my own and I am finding it very difficult to relax especially at night in case a spider comes into the house.,I can understand that. It is hard to see something that scares us.,Fear
 I am deathly afraid of the dentist. How can I overcome this fear?,A lot of people are afraid of dentists. Tell the dentist this when you call them and ask if they can prescribe anything for you to take ahead of time.,Fear
I have a fear from the dentist. How can I overcome this fear?,"Each of us must confront our own fears, must come face to face with them. How we handle our fears will determine where we go with the rest of our lives. To experience adventure or to be limited by the fear of it. -Judy Blume",Fear
 I am deathly afraid of the dentist. How can I overcome this fear?,Fears are nothing more than a state of mind. -Napoleon Hill,Fear
My only phobia is the dentist. Is there a way to go pass this?,"If you are distressed by anything external, the pain is not due to the thing itself, but to your estimate of it; and this you have the power to revoke at any moment. -Marcus Aurelius",Fear
How to destroy the fear from the dentist?,There is no illusion greater than fear. -Lao Tzu,Fear
"I don't have confidence in my abilities manoeuvring the car in certain situations, e.g. if there are multiple cars in a tight space. I am terrified that I will get stuck and won't have the skills to get myself out of the situation.","I remember being afraid of all of those things when I first started to drive, but my want/need to have independence over-rode those fears. How strong is you want/need to have independence?",Fear
I am really scared of driving. How do I change this?,What makes you feel stressed when you drive? Have more confidence in your driving abilities and yourself!,Fear
"I found this article on the internet that kind of freaked me out. I'm not trying to go after these people here, but I really get bothered by people growing out their gray hair (at least if they are younger than about 50 years old). I just hope that this is not a movement among women (or men) everywhere around. Will all women (or men) stop dying their hair? I hope not.", People should wear their hair however they want. You should wear your hair proudly.,Fear
I am really scared of mice. I find them disgusting.,"Think of them as pets, very soothing to do this. I like cats, dogs, chinchillas, turtles, gerbils, snakes. Ect.",Fear
What are you doing today??,"Binge watching ""That 70's show""! What about you? R u having fun?",Curiosity
when do girls get their period?,"Most girls get their first period when they're between 10 and 15 years old. The average age is 12, but every girl's body has its own schedule. ",Curiosity
What are the signs of your first period coming soon?,"Some of the most common PMS symptoms are: cramps, bloating, breakouts, sore breasts, feeling tired, mood swings.",Curiosity
How to find happiness with myself?,"Feeling pleasant feelings such as joy, excitement, interest, hope, and contentment come from many sources, one of which can be reflecting on something good that happened during our day and sharing it with others.",Happiness
What if I Have Trouble Talking to My Kids About Periods?,"If you don't feel comfortable talking with your kids about periods, make sure they have another way to get this information. Maybe watching a video or reading a book together would be easier. You also can ask your doctor, nurse, school counselor, or a trusted family member to talk to your child.",Curiosity
Weren't the 80s a great time? What do you think?,"Well, I can't guarantee, but the movies are awesome!",Curiosity
were the 80s a good decade?,"The 1980s were a time of great pop culture including some of the best movies, music, TV shows, and toys of all time. It is the decade most often associated with nostalgia and the style, and memories of the decade, continue to live on.",Curiosity
what is the best zodiac sign?,"No idea! I am not really into zodiac signs, sorry! :/ Just kidding, it is obviously Pisces ;)",Curiosity
What is good in the world today?,"Well, many things! But here is one: In 1962, there were 9,214 protected nature reserves. Today, there are over 200,000. Still, less than 20% of the world’s key biodiversity areas enjoy full protection.",Happiness
Has anything good happened in 2020?,SpaceX launches two astronauts into space for first time!,
Is there something good that happened in 2020?,A baby is born from an embryo frozen more than 27 years ago!!,Happiness
How to be successful?,"Stop looking for validation and believe more in yourself! People always think they know what’s best for you.
",Curiosity
How to succeed in life?,"If you need to change anything about yourself, change your perspective.
",Curiosity
How to find the love of your life?,"Don't seek romance, seek partnership!",Love
What age are you most likely to find the love of your life?,"According to the research, the average woman finds her life partner at the age of 25, while for men, they're more likely to find their soulmate at 28, with half of people finding 'the one' in their twenties",Love
How to make friends more easily?,Try talking to new people as if they were already good friends.,Happiness
How to make friends more easily?,Try smiling first - and often!,Happiness
 How do you define love?,"""The act of caring and giving to someone else. Having someone's best interest and wellbeing as a priority in your life. To truly love is a very selfless act.""",Love
 How do you realize that you  are in love with somebody?," part of realizing that you love someone includes becoming aware that that person's flaws do not bother you. You accept him/her, flaws and all, and you are willing to work together to overcome those flaws.",Love
Should I be a friend with my ex?,"There is a possibility, but there is also a catch.You must both be willing to admit that you don’t work together as a couple. Maintaining a healthy relationship post-breakup requires both people “to recognize what worked about the relationship and what did not,” says Dr. Christine Selby, a psychology professor at Husson University. ",Love
How do I know if I am in love with someone?,Just ask yourself:  Would you still like them if you knew all of their flaws?,Love
How do we know that we are truly in love with a person?,"You’ll be able to see past the flaws. You’ll truly want what’s best for that person, even if it’s not best for you. You’ll be realistic. You’ll see their flaws, their shortcomings, and their weaknesses, but you’ll choose to stay. You’ll embrace the flaws instead of trying to make your lover change them.",Love
I am being very shy. Is there a way to overcome shyness?,One thing is to make a list of all your positive qualities--enlist a friend or family member to help if you need to--and read or recite it when you're feeling insecure. Let it remind you how much you have to offer.,Curiosity
I am very shy when meeting new people. How can I change this?,"Sometimes we really are our own worst enemy. Don't allow your inner critic to put you down. Instead, analyze the power of that voice so you can defuse it.",Curiosity
My brother feels very distant… What can improve our relationship? ,"Fights often start over something small and get blown out of proportion. When things start to feel tense, de-escalate the situation by counting to ten in your head, finding some truth in what your brother is saying or feeling, and trying to find a point of agreement",Love
My sister doesn't tell me anything. What should I do to get closer to her?,"Support your sister by attending meaningful events in his life. Put any big events--like sports games, birthdays, or his daughter's recital--on your calendar. Text him to let him know you're excited beforehand. On the big day, make sure you're on time.",Love
My siblings really ignore me. How can I change this?,Just be honest with them about the things that bother you. Honesty is always appreciated. ,Love
"I feel like my marriage is slowly losing its ""magic"". How can I stop this?","Happy couples have learned how to exit an argument, or how to repair the situation before an argument gets completely out of control. Examples of repair attempts: using humor; offering a caring remark (“I understand that this is hard for you”); making it clear you’re on common ground (“We’ll tackle this problem together”); backing down (in marriage, as in the martial art Aikido, you often have to yield to win); and, in general, offering signs of appreciation for your partner and their feelings along the way. If an argument gets too heated, take a 20-minute break, and agree to approach the topic again when you are both calm",Love
My spouse doesn't tell me anything. What can I do to change this?,"We don’t lie just with words—sometimes we can lie by withholding them. It can be tempting to let our spouse assume something that’s not true by not correcting them, but that’s still dishonesty. Ask him to be more honest with you, even if the truth hurts.",Love
I can't seem to connect with anyone I meet. How can I change this?,"To improve your ability to instantly connect with others, seek feedback on your communication skills. One great way to do this is to join a speaking group such as Toastmasters. Toastmasters groups give you opportunities to speak and get helpful feedback from group members regarding your message delivery, body language, and pace. By learning how to be a more effective speaker, you will be on your way to connecting with others.",Curiosity
What is the key to good communication?,"In every conversation, focus on getting to know the other person. People love to talk about themselves. Have you ever met someone and thought, “Wow, that person is awesome” and realized you hardly learned anything about him or her? Chances are, it’s because that person was focused on getting to know you — you were likely asked a lot of questions and spend a good amount of time happily talking about yourself. Be the person in the conversation who asks the questions. Allow others to open up to you and share about themselves.",Curiosity
How can you make a good impression on someone?,"Nothing else really matters if you don’t act like you care about those around you. Add value to their lives. Go out of your way to help them. Be encouraging, positive, uplifting, and supportive. Say thank you for small things and big things. Whether you send a text, call them, write a note, or give a gift, frequently thank others for helping you and for who they are in general. People love feeling appreciated and cared about.",Curiosity
Can you connect with someone online as good as in real life?,"In today’s world, you can definitely start connecting with others online, but nothing beats getting together in person. Get out from behind your desk and spend time with people at your favorite inspiring places. Connecting with people can greatly change your life and the lives of others. My challenge for you today is to make an effort to connect with someone.",Curiosity
How to make new friends? ,"When you enter a room, picture everyone there as friends to meet instead of strangers. This will decrease the intimidation factor. Plus, if you’re showing up at the same event or know some of the same people, you probably have something in common with them. Greet them as if they are friends.",Curiosity
I can't seem to choose a university. What can help me bring the right decision?,"It is fundamental to be 120% sure about your subject. You will spend your next three to six years studying it, and then the next 40-50 years working in the area. If you have doubts about your choice, read as many things about it as you can. Check job options, course contents, salaries; Google is your friend. But you definitely do not want to realize after two months of studying that you want to be a dentist instead of a mathematician after all…",Curiosity
How to choose the best university for me?,"Hope that this tip will help you: check all the major ranking tables and calculated averages. There are some which give you a general ranking, while others may have separate tables for each subject. The most important data may be the student:staff ratio. The lower this ratio is, the better. In smaller classes you can ask questions and understand the topics more easily.",Love
I can't decide what do I want to study. How can I make a decision?,"Deciding what you would like to study is different from making a decision to do it so you might be better at it if you separate the two and figure out the steps you need. What you want to study depends on your interests and we can have many interests that we want to study in our lifetime. However, choosing one to study as a discipline or career depends on our long term goals. Think about where you would like to be in 3,5 and 10 years. Try to be very specific in terms of work, income, housing,location, family, relationship, friends, etc. Then see which career would get you what you want. It would also help to focus by talking to a career coach.",Curiosity
How do I know if I’m ready to marry?,Ask yourself whether you are marrying out of strength (I know who I am and am happy with myself) rather than weakness (I need someone to fill the gaps in my personality)?,Love
How do I know if this is the right person?,"It is really important to share similar basic values about respecting human life, fidelity, commitment, what’s right and wrong, honesty, life goals, and lifestyle.",Love
Is it necessary to feel “chemistry” between us for this to be the right person to marry?,"Chemistry, or feeling like you “click” with another person, is a natural part of a deepening relationship, and a wonderful part of falling in love, but unfortunately, chemistry is sometimes confused with infatuation, which can be fleeting. In the good sense, chemistry means you feel a strong physical and emotional attraction to the other person and want to become closer to him or her. You feel happy in his or her presence and enjoy your time together. This sense of unity and joy at the other’s presence can be a great foundation for a happy marriage.",Love
Doesn’t living together before marriage prevent me from marrying the wrong person and thus getting divorced later on?,"On an intuitive level, it would seem to make sense that couples who had already tried out the proposition of living together, and intimately tested their compatibility, would be able to make a better-informed decision as to whether or not to get hitched, and would thus have a more solid and successful marriage. Yet, almost a dozen studies conducted since the 1970s have shown the very opposite outcome — that cohabitation prior to marriage is linked to lower marital happiness and stability and a higher chance of divorce. This substantial body of research found that couples who lived together before getting married were in fact 33% more likely to split up than those who didn’t. Of course, this isn't a general rule.",Love
How much income should we have between us to marry?,"Many couples, especially younger ones, start their married lives together without a large income, and possibly with debt. This can be a challenge, but it shouldn’t necessarily delay marriage. There’s no magic number when it comes to the income and financial assets a couple should have before marrying, and bride and groom promise to be faithful “for richer” or “for poorer.” At the same time, it’s important to realize that financial hardship can cause conflict in a marriage, and to talk with each other about your plan for meeting your basic needs. Don’t be afraid to seek wise counsel if you’re not sure how you’ll make ends meet.",Love
What can help me choose the right career for me?,"If you’ve assessed your strengths, skills and interests, you should biq have a list of careers to think about. It’s useful to have a long list, with at least ten career choices because there is no such thing as just one dream career. Lots of careers could be a great match for you.",Curiosity
How to know which is the most important thing when picking a career? ,"You probably have multiple lists of occupations in front of you at this point—one generated by each of the self-assessment tools you used. To keep yourself organized, you should combine them into one master list.",Curiosity
How to Make a Career Choice When You Are Undecided?,"First, look for careers that appear on multiple lists and copy them onto a blank page. Title it ""Occupations to Explore."" Your self-assessments ​indicated they are a good fit for you based on several of your traits, so they're definitely worth exploring. Next, find any occupations on your lists that appeal to you. They may be careers you know a bit about and want to explore further. Also, include professions about which you don't know much. You might learn something unexpected.",Curiosity
How can I increase my persistence?,"Before you can develop persistence and eventually achieve success, you need to first identify your wants or desires. You can do this by simply writing down specifically all the things you want to have or accomplish. List down all your desires and wants, no matter how impossible they are to achieve in the moment.",Curiosity
What makes someone persistent?,"Persistent people have a goal or vision in mind that motivates and drives them. They are often dreamers and visionaries who see their lives as having a higher purpose than simply earning a living. Their vision is deeply ingrained, and they focus on it constantly and with great emotion and energy.",Curiosity
Is persistence a good quality?,"First, let's define persistence. It's the trait that allows someone to continue doing something or trying to do something even though it is difficult or opposed by other people. ... When it comes to making quality as good as it can be, persistence is just as important as any other quality assurance skill.",Curiosity
How do you overcome lack of persistence?,,Curiosity
Why do I have no motivation to study?,"The main reason people lack motivation for studying is that they think of it as a work and burden to them. One should take it as an opportunity to learn and experience something new. Life is all about learning, everyday we learn something in some or the other way.",Curiosity
How do I stop being so lazy?,"Setting unrealistic goals and taking on too much can lead to burnout. While not an actual clinical diagnosis, the symptoms of burnout are recognized by medical professionals. Job burnout can cause exhaustion, loss of interest and motivation, and a longing to escape.",Curiosity
How do you know If someone is the right person for you?,"A good sign that someone is right for you is if you can imagine that person fitting in to other parts of your life and not just living in a microcosm of the relationship. Ask yourself: Do they get along with the other people in my life? Do I get along with their friends and family? Do we have mutual interests and things that we enjoy doing together that can be a source of sustainability in a relationship? If the answer is yes, then you may be on the right track",Love
Can You Make Love Happen?,"""You can make yourself deliberately fall in love with someone you presently like but do not really love, but not easily. ",Love
Why can't I fall in love?,"If you're someone who has trouble falling in love, it can be for any number of reasons. Some people have trouble falling in love due to being hurt in past relationships. Others have issues falling in love due to their upbringing and negative childhood experiences.",Love
How do you know you're in love?,"People who are in love generally feel a powerful sense of empathy toward their beloved, feeling the other person's pain as their own and being willing to sacrifice anything for the other person.",Love
Is it normal to love someone but not want to be with them?,"Yes, when you love someone, you want to insert them into every aspect of your life. ... If you've found that, despite your love for them, you're actually living for them and you're unable to think of anything else, then it's a sign that you're not meant to be. Healthy relationships wouldn't spark such obsession in someone.",Love
Why is falling in love so hard?,"The most common and biggest reason why it's so hard to fall in love is a fear of commitment. ... Hence, some people have a fear of commitment since it requires attention and dedication. Love requires us to confront our own laziness, impulsiveness and boredom, which is hard for most people to do.",Love
How do I allow myself to be loved?,"The reason to give love another shot, I’ve learned, is that by loving better and deeper, we become even more whole. Our hurt and tears clear the fog around our heart and illuminate the soul.",Love
How soon is too soon to say LOVE YOU?,"A reasonable period is three months, but can vary from person to person, but the most important things is do it when you mean it. ' While three months may be advisable, new research by the dating website eharmony has revealed that one in 10 Brits say it within just a week of dating.",Love
Why is being in love so painful?,"Another reason that love is so painful is because of our body's chemistry. When we fall in love, all sorts of wonderful chemicals are coursing through our bodies. Dopamine, serotine, oxytocin, and endorphins are all stimulated when we are experiencing love and lust",Love
Why can't I love someone who loves me?,"Sometimes the reasons for being unable to love as much we want to stem from things that have nothing to do with the relationship or the other person. Other times, it's all about the relationship — not being with the right person, too many irreconcilable differences or too many problems (arguments, fights, drama etc).",Love
What can I say instead of I Love You?,We fit together like puzzle pieces.,Love
Is love a choice or a feeling?,Even in relationships—especially in relationships. This doesn't mean we don't love the person; it means we are left with a choice. There is a difference between feeling love for someone (caring about a person) and loving someone (choosing to love that person). ... The choice to love is not a feeling; it is an action.,Love
Can you be scared of love?,"Philophobia is an overwhelming and unreasonable fear of falling in love, beyond just a typical apprehensiveness about it. The phobia is so intense that it interferes with your life. ... They can include both emotional and physical reactions when even thinking about falling in love: feelings of intense fear or panic.",Fear
What is the most romantic saying?,"I will have to tell you: you have bewitched me, body and soul, and I love, I love, I love you. I never wish to be parted from you from this day on. You know you're in love when you can't fall asleep because reality is finally better than your dreams. Love recognizes no barriers.",Love
How do I apologize to a friend I hurt?,"I realize I hurt your feelings, and I'm sorry,” acknowledges that you know what it was you said that hurt the other person, and you take responsibility for it. Don't make assumptions and don't try to shift the blame. Make it clear that you regret your actions and that you are sincerely sorry.",Love
How long is it normal to cry after a breakup?,"After a breakup, it takes about six weeks to stop crying. If you're still crying over a breakup and it's been a couple years, that's OK, too.",Love
What are the 5 stages of a breakup?,"Many people are familiar with the five stages of grief—denial, anger, bargaining, depression and acceptance—presented in psychiatrist Elisabeth Kübler-Ross's 1969 book, On Death and Dying. Individuals who are going through a break-up—whether or not they're abuse survivors—may also experience these same stages",Love
How long do guys take to get over a breakup?,Studies suggest that people start to feel better around three months post-breakup. One study found it takes three months and 11 days before the average American feels ready to date again after a major breakup.,Love
I am really afraid of heights. What causes fear of heights?,"Millions of Americans suffer from acrophobia, but it is very treatable. With help and support, you can start managing your phobia of heights and move on with your life.",Fear
Is fear of heights a mental illness?,"A phobia is a type of anxiety disorder. It is a strong, irrational fear of something that poses little or no actual danger. There are many specific phobias. Acrophobia is a fear of heights.",Fear
How common is fear of heights? Am I the only one??? :((((,"Fear of heights is one of the most common phobias (followed by public speaking) with an estimated 3 percent to 5 percent of the population suffering so-called acrophobia. While scientists had thought such phobia was the result of an irrational fear to normal stimuli, new research is suggesting otherwise.",Fear
I am really afraid of heights. I was wondering if pilots can also have this fear?,"When a pilot is exposed to a fear of heights at high altitude, function and discretion are impaired, especially in tasks that demand concentration like operating aircraft",Fear
Can fear of heights cause vertigo?,"The two conditions can interact. For example, being at a high altitude, looking down from a high perch or gazing up at a tall object can cause the swirling sensations of vertigo. Those vertiginous feelings can contribute to a fear of heights.",Fear
What triggers imposter syndrome? ,"If there is some new transitional experience, new career, new promotion, it can trigger those feelings."" But for those experiencing imposter phenomenon, Young says the cause seems to be setting expectations that are ""exceedingly high"" and ""unrealistic notions of what it means to be competent",Fear
Can you cure imposter syndrome?,"There is currently no specific treatment for impostor syndrome, but people can seek help from a mental health professional if they have concerns about its impact on their life. The following steps can also help a person manage and overcome a sense of inadequacy related to impostor syndrome.",Fear
Is imposter syndrome a form of anxiety?,"While for some people, impostor syndrome can fuel feelings of motivation to achieve, this usually comes at a cost in the form of constant anxiety. You might over-prepare or work much harder than necessary to ""make sure"" that nobody finds out you are a fraud.",Fear
Do I have imposter syndrome or am I just bad?,"A lack of self-confidence, anxiety, doubts about your thoughts, abilities, achievements and accomplishments, negative self-talk, feelings of inadequacy, dwelling on past mistakes and not feeling good enough — these are all signs and symptoms of imposter syndrome.",Fear
What causes fear of public speaking? I have it at great amounts..,"The fear often arises when people overestimate the stakes of communicating their ideas in front of others, viewing the speaking event as a potential threat to their credibility, image, and chance to reach an audience.",Fear
What do humans fear most?,"Some of humanity's most common fears are well known, like fear of heights or the dark. Others, however, are less talked-about, like the fear of speaking to strangers due to thoughts of what they might think of you. To free yourself of these fears, it's not enough to change the channel or end the conversation.",Fear
How can I get over my fear of the dark?,You can try meditation. Studies say it helps. ,Fear
How can I sleep without being scared?,One thing that might help is to go to bed at the same time every night and wake up at the same time every morning.,Fear
Why does it take me 2 hours to fall asleep?,"The time it takes you to fall asleep is known as sleep latency. If you fall asleep before or after the typical 10 or 20 minutes it generally takes, you may have an underlying sleep condition. One study found that your sleep quality will decrease if it takes you longer than a half hour to fall asleep.",Curiosity
Is it normal to be afraid of death? I often think of this…,"Having some anxiety about death is an entirely normal part of the human condition. However, for some people, thinking about their own death or the process of dying can cause intense anxiety and fear. A person may feel extreme anxiety and fear when they consider that death is inevitable.",Fear
Can't sleep because of fear of death?,"Somniphobia has also been linked to a fear of dying. Worrying about dying in your sleep might eventually lead to a fear of falling asleep at all. It's also possible to develop somniphobia without a clear cause. Phobias often develop in childhood, so you may not remember exactly when your fear began or why.",Fear
Why does my anxiety increase at night?,"The bottom line. There are many reasons why your anxiety may be worse at night. Daily stressors, poor sleep habits, and other health conditions can lead to increased anxiety and panic attacks at night. However, there are many treatments available that can help ease your anxiety and improve your quality of sleep.",Fear
Why do I cry so easily?,"Crying is something that everyone does. But if you feel like you're crying too much, you might be too easily overwhelmed by stress, or you may have another issue going on, such as a depressive disorder. You can begin by focusing on reducing the stress in your life to reduce your crying.",Grief
Is crying a sign of weakness? I sometimes feel like it is.,"False. Crying or feeling your emotions is definitely not a sign of weakness. ... On the contrary, it's even been said that you have to be strong to cry.",Curiosity
Why are my emotions so sensitive?,"Feeling heightened emotions or like you're unable to control your emotions can come down to diet choices, genetics, or stress. It can also be due to an underlying health condition, such as depression or hormones.",Curiosity
Why do I cry when I get yelled at?,"You might cry when you yell at someone or get angry, because when you feel angry, you may become overwhelmed or scattered. ... You might also cry when you are angry because when you get mad at something, you are also feeling pain because of whatever the object of your anger did or whatever is going on in your life.",Curiosity
Why do I cry when I poop?,"When your abdominal muscles flex and tighten to help push poop out of your colon, they put pressure on the organs and membranes around them. This pressure, along with your regular breathing , can put strain on the nerves and blood vessels that line the abdomen, resulting in tears being produced.",Curiosity
How do you not get emotional when arguing?,"Set a time limit for the break, like 20 or 30 minutes, and don't use it to stew over the argument. Instead, do something relaxing or distracting, Rusnak said, and come back when the time limit is over — even if it's just to say that you need more time.",Curiosity
How long does a hangover last? Mine feels like forever.,"Hangovers can last up to 72 hours after drinking, but most are shorter in duration. Again it depends on how much was consumed, how dehydrated you became, nutritional status, ethnicity, gender, the state of your liver, medications, etc.",Curiosity
What helps with anxiety after drinking?,There are also some helpful techniques you can employ to ease feelings of anxiety: Slow down your breathing. Count to three as you breathe in slowly – then count to three as you breathe out slowly. Feel your heartbeat slow down and try to relax.,Curiosity
Is red wine good for anxiety?,"New research has revealed that the plant compound resveratrol, which is found in red wine, displays anti-stress effects by blocking the expression of an enzyme related to the control of stress in the brain, according to a University at Buffalo-led study.",Curiosity
Why do I drink when I'm sad?,"Some people say they drink alcohol to ""drown their sorrows"" after a bad breakup, job loss, or other major life stress. And yes, because alcohol makes you sleepy, a few beers or glasses of wine can seem to relax you and relieve anxiety. A drink once in a while when you're stressed out or blue is one thing.",Grief
Does alcohol make you more sad?,"Alcohol is a depressant which affects your brain's natural level of happiness chemicals like serotonin and dopamine. This means that although you'll feel an initial 'boost' the night before, the next day you will be deficient in these same chemicals, which may lead to feeling anxious, down or depressed.",Curiosity
Why is alcohol a depressant when it makes me happy?,"Alcohol is a tricky substance. It may cause our body to release endorphins (making us feel relaxed and euphoric), but it's also classified as a depressant. If you're predisposed to mental health disorders, alcohol can exacerbate the effects of certain conditions – including anxiety and depression.",Happiness
Why do I like getting drunk?,"People like to get drunk because alcohol smacks your brain around in a number of ways that feel pleasant, or at least different, or at the very least better than going without. ... The striatum – the brain's reward system – is responsible, not just for pleasure, but more seriously, for feelings of desire.",Curiosity
How do I stop being sad when drunk?,Alcohol affects people in different ways. Some people never notice feelings of depression — or any negative effects at all — after drinking moderately.,Curiosity
Why is mourning important?,"Grieving such losses is important because it allows us to 'free-up' energy that is bound to the lost person, object, or experience—so that we might re-invest that energy elsewhere. ... Healthy grieving results in an ability to remember the importance of our loss—but with a newfound sense of peace, rather than searing pain.",Grief
Why is it important to acknowledge and understand your grief?,"Sadness, anger, fear and guilt are some of the most common emotions. ... Talking about your feelings or keeping a journal often helps you gain perspective and insight. There are no right or wrong feelings in grief, there are just your feelings.",Grief
Is grief a sign of weakness?,"Grief is not a sign of weakness. It is, rather a healthy and fitting response to a loss, a tribute to a loved one who has died. Running away from grief postpones sorrow; clinging to grief prolongs pain.",Grief
What do you say to someone when their mother dies?,"Someone so special can never be forgotten, may her soul rest in peace.",Grief
What to do for someone who is grieving?,"Don't ask, ""How are you?"" The answer is obvious—""not good""—and because it's the same greeting you would offer anyone, it doesn't acknowledge that your friend has suffered a devastating loss.",Grief
What can I say instead of sorry for your loss?,"We are saddened to learn of the loss you've had, please let us know how we may help you heal. I hope this card finds you surrounded by strength and compassion. Please accept our warmest condolences, we are deeply sorry for your loss. Our hearts are saddened to learn of your loss, please know we are with you.",Grief
How do you comfort someone who is grieving?,"Often, comfort for them comes from simply being in your company. If you can't think of something to say, just offer eye contact, a squeeze of the hand, or a reassuring hug. Offer your support. Ask what you can do for the grieving person.",Grief
